,zip_code,都,区,町,Prefecture,District,Area,lat,long
182,1006604,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(4-KA,,
183,1006605,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(5-KA,,
184,1006606,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(6-KA,,
185,1006607,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(7-KA,,
186,1006608,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(8-KA,,
187,1006609,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(9-KA,,
188,1006610,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(10-K,,
189,1006611,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(11-K,,
190,1006612,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(12-K,,
191,1006613,東京都,千代田区,丸の内　グラントウキョウ　サウスタ,TOKYO TO,CHIYODA KU,MARUNOCHI GURANTOKYO SAUSUTAWA(13-K,,
